date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,9.7,4.8,15,,,336,3.5,,1024.1,
2022-01-02,10.9,6.2,19,,,266,5.9,,1022.8,
2022-01-03,10.7,6.6,15.8,,,303,6.4,,1020.9,
2022-01-04,10.5,9.1,12.4,,,62,10.1,,1020.7,
2022-01-05,9.7,9,10.5,,,52,12.2,,1018.8,
2022-01-06,10.4,8.3,13.1,,,18,5.8,,1019.2,
2022-01-07,9.7,9,11,,,35,14.5,,1018.4,
2022-01-08,10.4,8.8,14.5,,,73,20.5,,1016.8,
2022-01-09,10.4,6.6,15.1,,,129,6.5,,1018.7,
2022-01-10,10,5.3,15,,,37,5.6,,1019.9,
2022-01-11,10.2,4.8,17,,,300,6.4,,1020.7,
2022-01-12,9.9,3.9,17,,,317,4,,1019.3,
2022-01-13,10.8,5.5,17.6,,,310,3.3,,1018.9,
2022-01-14,10.5,5.1,18,,,304,5,,1020.2,
2022-01-15,10,4.3,16.6,,,290,3.8,,1021.5,
2022-01-16,10.3,5.5,16.2,,,83,3.9,,1021.5,
2022-01-17,9.8,7.3,13.8,,,128,4.2,,1022.7,
2022-01-18,10.9,6,18,,,269,7.7,,1020.7,
2022-01-19,10.7,8,13.5,,,356,8.5,,1017.4,
2022-01-20,11.3,8,15.6,,,272,5.4,,1013.4,
2022-01-21,10.4,7.4,13.5,,,65,9.7,,1013.4,
2022-01-22,9.4,8.5,10,,,51,15.4,,1010.2,
2022-01-23,9,8,10.5,,,46,10.4,,1011.9,
2022-01-24,10.4,7.1,14.6,,,346,7.4,,1015.3,
2022-01-25,10.3,6.1,16,,,296,7.1,,1016.5,
2022-01-26,10.3,5.3,16.4,,,320,6.4,,1017,
2022-01-27,10.3,4.5,17.1,,,294,9.5,,1018.6,
2022-01-28,10.1,4.7,17.2,,,298,6.4,,1018.8,
2022-01-29,11.2,5.3,18.6,,,302,6.5,,1018.4,
2022-01-30,11.6,6,17.7,,,296,7.5,,1014.6,
2022-01-31,12.1,6.5,18.5,,,254,6.7,,1012.4,
2022-02-01,12.5,7.3,19.6,,,308,12.9,,1013.8,
2022-02-02,11.4,7.2,16,,,45,8.8,,1011.8,
2022-02-03,11.1,8.1,14.7,,,78,12.3,,1010.9,
2022-02-04,10.4,5.8,15.7,,,298,7.4,,1011.1,
2022-02-05,11.1,5.2,16,,,278,7.2,,1015.1,
2022-02-06,12.1,8.8,16,,,129,7.1,,1017.2,
2022-02-07,13.4,9.2,19.5,,,345,10.3,,1017.7,
2022-02-08,12.7,7.7,18.5,,,252,6.6,,1015.7,
2022-02-09,13.2,8.5,18.8,,,330,11.4,,1016.8,
2022-02-10,12.7,7,19.5,,,301,10.9,,1019.6,
2022-02-11,12.5,5.8,20.2,,,301,11.3,,1018.1,
2022-02-12,13,6.2,21.2,,,335,5.1,,1015.8,
2022-02-13,13.4,7,20.5,,,317,4.5,,1014.5,
2022-02-14,14,9,19,,,36,6.3,,1014.9,
2022-02-15,14.5,9.3,21,,,36,7.7,,1015.2,
