date,tavg,tmin,tmax,prcp,wdir,wspd,pres,Target
20220101,9.7,4.8,15.0,0.0,336.0,3.5,1024.1,10.9
20220102,10.9,6.2,19.0,0.0,266.0,5.9,1022.8,10.7
20220103,10.7,6.6,15.8,0.0,303.0,6.4,1020.9,10.5
20220104,10.5,9.1,12.4,0.0,62.0,10.1,1020.7,9.7
20220105,9.7,9.0,10.5,0.0,52.0,12.2,1018.8,10.4
20220106,10.4,8.3,13.1,0.0,18.0,5.8,1019.2,9.7
20220107,9.7,9.0,11.0,0.0,35.0,14.5,1018.4,10.4
20220108,10.4,8.8,14.5,0.0,73.0,20.5,1016.8,10.4
20220109,10.4,6.6,15.1,0.0,129.0,6.5,1018.7,10.0
20220110,10.0,5.3,15.0,0.0,37.0,5.6,1019.9,10.2
20220111,10.2,4.8,17.0,0.0,300.0,6.4,1020.7,9.9
20220112,9.9,3.9,17.0,0.0,317.0,4.0,1019.3,10.8
20220113,10.8,5.5,17.6,0.0,310.0,3.3,1018.9,10.5
20220114,10.5,5.1,18.0,0.0,304.0,5.0,1020.2,10.0
20220115,10.0,4.3,16.6,0.0,290.0,3.8,1021.5,10.3
20220116,10.3,5.5,16.2,0.0,83.0,3.9,1021.5,9.8
20220117,9.8,7.3,13.8,0.0,128.0,4.2,1022.7,10.9
20220118,10.9,6.0,18.0,0.0,269.0,7.7,1020.7,10.7
20220119,10.7,8.0,13.5,0.0,356.0,8.5,1017.4,11.3
20220120,11.3,8.0,15.6,0.0,272.0,5.4,1013.4,10.4
20220121,10.4,7.4,13.5,0.0,65.0,9.7,1013.4,9.4
20220122,9.4,8.5,10.0,0.0,51.0,15.4,1010.2,9.0
20220123,9.0,8.0,10.5,0.0,46.0,10.4,1011.9,10.4
20220124,10.4,7.1,14.6,0.0,346.0,7.4,1015.3,10.3
20220125,10.3,6.1,16.0,0.0,296.0,7.1,1016.5,10.3
20220126,10.3,5.3,16.4,0.0,320.0,6.4,1017.0,10.3
20220127,10.3,4.5,17.1,0.0,294.0,9.5,1018.6,10.1
